,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
10,m0W4Bfay1OM,Ula Pedantula,"Dekorowanie prezentów świątecznych, cz. 2 #shorts",,,2022-12-08T13:02:11Z,8451,321,,3,PT40S,hd,false
11,s1ZbzJNVr2c,Ula Pedantula,"Dekorowanie prezentów świątecznych, cz. 1.",,,2022-12-07T18:48:06Z,8525,334,,6,PT1M1S,hd,false
12,8Lzb9xMVDLA,Ula Pedantula,Jak sprawnie i fajnie przyjąć gości nie tylko na Święta - moje porady i patenty | Ula Pedantula #377,"Dzisiejszy odcinek powstał we współpracy z IKEA.

Jak sprawnie i fajnie przyjąć gości nie tylko na Święta? Dziś w odcinku moje rady i patenty na to, jak miło i wygodnie przyjąć gości już od samego przedpokoju! Podpowiem, jak zorganizować salon, kuchnię, stół i krzesła, gdy nagle w domu na Boże Narodzenie (ale nie tylko) pojawi się nam kilka(naście) dodatkowych osób, oraz jak miło i przytulnie przenocować kilkoro świątecznych gości u siebie. Zapraszam na odcinek! Wasza Ula Pedantula.

Produkty, które pokazałam Wam w filmie, to:

dywan LOHALS https://track.adform.net/C/?bn=60048718
kapcie SKOVELSJÖN https://track.adform.net/C/?bn=60048722
mata BAGGMUCK https://track.adform.net/C/?bn=60048724
półka GREJIG https://track.adform.net/C/?bn=60048724
wieszak MULIG https://track.adform.net/C/?bn=60048725
wieszak SPRUTTIG https://track.adform.net/C/?bn=60048723
wózek RÅSKOG https://track.adform.net/C/?bn=60048720
stół INGATORP https://track.adform.net/C/?bn=60048726
stół GLIVARP https://track.adform.net/C/?bn=60048721
stół STRANDTORP https://track.adform.net/C/?bn=60048727
stół GAPERHULT https://track.adform.net/C/?bn=60048719
poduszka MALINDA https://track.adform.net/C/?bn=60048041
krzesło TERJE https://track.adform.net/C/?bn=60048040
sofa GRÖNLID  https://track.adform.net/C/?bn=60048047
pojemnik PÄRKLA https://track.adform.net/C/?bn=60048037
poszwa NATTSVÄRMARE  https://track.adform.net/C/?bn=60048039
lampa ÅRSTID https://track.adform.net/C/?bn=60048043
stolik KVISTBRO https://track.adform.net/C/?bn=60048038
pled INGABRITTA https://track.adform.net/C/?bn=60048046
poszewka SANELA https://track.adform.net/C/?bn=60048044
ręcznik DIMFORSEN https://track.adform.net/C/?bn=60048045
świeca RINGLAD  https://track.adform.net/C/?bn=60048042

A moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'patenty', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'boże narodzenie 2022', 'jak przyjąć gości w domu', 'goście w domu', 'impreza w domu', 'święta w domu', 'ikea', 'jak ugościć gości', 'jak ugościć gości w domu']",2022-12-05T17:00:08Z,166239,3239,,374,PT18M52S,hd,true
13,hxXwUnK8a7E,Ula Pedantula,Piękny i pomysłowy stół świąteczny - poznajcie moje patenty na jego nakrycie! | Ula Pedantula #376,"Partnerem odcinka jest sklep Piękno w domu.

Kod rabatowy ŚWIĘTA daje Wam 20% zniżki za wszystkie nieprzecenione produkty ze sklepu https://pieknowdomu.pl przy zakupach od 150 zł. Kod działa do 23.12.2022!

Świętulek kupicie tu: https://przepisulek.pl/swietulek

Dziś piękny i pomysłowy stół świąteczny, czyli poznajcie moje patenty na jego nakrycie. Pokażę wam, jak niedrogo, ale ze smakiem i elegancją przygotować wigilijny i świąteczny stół tak, żeby cieszył oko, zanim przyjdą goście i jak nie będzie na nim jeszcze/już potraw. Zobaczcie moje świąteczne aranżacje stołu na Boże Narodzenie i dajcie znać w komentarzach, które najbardziej przypadły Wam do gustu. Zapraszam na kolejny świąteczny odcinek pełen bożonarodzeniowych i zimowych inspiracji! Wasza Ula Pedantula.

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'boże narodzenie 2022', 'świąteczny stół', 'stół wigilijny', 'stół wigilijny inspiracje', 'świąteczne inspiracje', 'piękno w domu', 'inspiracje świąteczne', 'stroik na stol boze narodzenie']",2022-12-02T17:00:27Z,86425,2527,,174,PT12M38S,hd,true
14,-JjfAZE6mZ4,Ula Pedantula,"Święta inaczej, czyli świąteczne gry prezentowe | Ula Pedantula #375","Partnerem dzisiejszego odcinka jest firma PLUS.

Dziś Święta inaczej, czyli świąteczne gry prezentowe. O co chodzi? A gdyby tak w tym roku prezentów pod choinką było mniej? Albo gdyby dobrać je według jakiegoś konkretnego klucza? Albo podczas rozdawania świątecznych prezentów trochę się pobawić i pośmiać? Zapraszam Was na odcinek, w którym zaproponuję Wam m.in. grę Dirty Santa, podpowiem, jak można inaczej podejść do wręczania prezentów świątecznych. Oglądajcie, by zyskać moc świątecznych inspiracji i pomysłów na prezenty. Inaczej niż zwykle. Wasza Ula Pedantula

Link do oferty: https://bit.ly/3EQ9c4w


Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'prezenty', 'prezenty świąteczne', 'prezenty na święta', 'prezenty na święta bożego narodzenia', 'święta', 'święta inaczej', 'święta bożego narodzenia', 'boże narodzenie', 'pomysły na prezenty świąteczne', 'pomysły na prezent', 'pomysły na prezenty', 'pomysły na prezenty na święta', 'inspiracje swiateczne', 'prezenty pod choinkę', 'prezenty pod choinką', 'dirty santa']",2022-11-28T17:00:00Z,63643,1946,,127,PT13M43S,hd,true
15,kJNQqJDa7mo,Ula Pedantula,Jak pięknie i niedrogo udekorować dom na Święta - sprawdzone pomysły i patenty | Ula Pedantula #374,"Dziś pokażę, jak pięknie i niedrogo udekorować dom na Święta. Przedstawię Wam moje sprawdzone pomysły i patenty na świąteczne dekoracje i ozdoby, które zimowo i bożonarodzeniowo odmienią Wasz dom. Światełka, lampki, stroiki, tekstylia - zobaczcie, co obok choinki mam Wam do zaproponowania na nadchodzące święta Bożego Narodzenia. Zapraszam na odcinek, Wasza Ula Pedantula.

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'dekoracje świąteczne', 'świąteczne dekoracje', 'lampki boże narodzenie', 'jak udekorować dom na święta bożego narodzenia', 'jak udekorować dom na boże narodzenie', 'ozdoby świąteczne', 'świąteczne ozdoby', 'pomysły na dekoracje świąteczne', 'pomysły na święta', 'pomysły na święta bożego narodzenia']",2022-11-25T17:00:37Z,188949,4554,,256,PT19M40S,hd,true
16,_OjXgkl37fI,Ula Pedantula,"Gadżety dla gracza, czyli gamingowe akcesoria i prezenty ze sklepu IKEA | Ula Pedantula #373","Odcinek powstał we współpracy z marką IKEA.

Dziś mam dla Was gadżety dla gracza, czyli gamingowe akcesoria i prezenty ze sklepu IKEA. Podpowiem Wam, w co warto zainwestować, jeśli macie w domu nastoletniego gracza komputerowego, co się sprawdzi podczas długich seansów gamerskich, żeby zarówno gracz, jak i pozostali domownicy byli zadowoleni. Zapraszam na odcinek, Wasza Ula Pedantula.

A w odcinku pokazuję Wam następujące przedmioty:
krzesło MATCHSPEL https://track.adform.net/C/?bn=59486264
biurko UTESPELARE https://track.adform.net/C/?bn=59486260
stojak LANESPELARE https://track.adform.net/C/?bn=59486267
stojak na akcesoria LANESPELARE https://track.adform.net/C/?bn=59486261
podkładka LANESPELARE https://track.adform.net/C/?bn=59486263
podkładka pod krzesło LANESPELARE https://track.adform.net/C/?bn=59486265
poduszka/koc LANESPELARE https://track.adform.net/C/?bn=59486262
lampa LANESPELARE https://track.adform.net/C/?bn=59486266

A moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'gaming', 'gracz', 'akcesoria dla graczy', 'akcesoria dla gracza', 'akcesoria dla gracza komputerowego', 'akcesoria do komputera dla gracza', 'gadżety dla graczy', 'gadżety dla gracza', 'gadżety dla gracza komputerowego', 'prezenty dla gracza', 'prezent dla gracza', 'prezent dla gamera', 'ikea', 'produkty z ikea']",2022-11-21T17:00:32Z,45134,1142,,87,PT12M40S,hd,true
17,yvLbBD1GjMI,Ula Pedantula,Piękne i praktyczne prezenty nie tylko na Święta! | Ula Pedantula #372,"Partnerem odcinka jest marka Piękno w domu 
Kod PREZENT daje Wam aż 20% rabatu na wszystkie nieprzecenione produkty przy zakupach za minimum 150 zł! 🎁 https://bit.ly/3gdKdyC 🎁 Kod jest ważny do końca listopada!


Dziś piękne i praktyczne prezenty nie tylko na Święta Bożego Narodzenia! W odcinku pokażę Wam, jak ciekawe zestawy prezentowe można wyczarować z fajnych, codziennych przedmiotów, oraz jak to wszystko zapakować pod choinkę. Bądźcie ze mną, świąteczne inspiracje czekają. Zapraszam na odcinek, Wasza Ula Pedantula.

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'prezenty na święta', 'prezenty', 'prezenty pod choinkę', 'prezenty pod choinką', 'praktyczne prezenty', 'święta', 'święta bożego narodzenia', 'święta bożego narodzenia prezenty', 'świąteczne inspiracje', 'boże narodzenie', 'jaki prezent na święta', 'prezenty świąteczne']",2022-11-14T17:00:54Z,135652,3532,,187,PT21M21S,hd,true
18,wJBsO712FfA,Ula Pedantula,"Prezenty z Instagrama 2022, cz. 2 | Ula Pedantula #371","Drugi w tym roku odcinek świąteczny - pomysły na prezenty z Instagrama, edycja 2022!
Znajdziecie tu mnóstwo inspiracji świątecznych i nie tylko, ponieważ rękodzieło artystyczne, które Wam dziś polecam, świetnie sprawdzi się jako idealny i jedyny w swoim rodzaju prezent na różne okazje, nie tylko Boże Narodzenie. Miłego oglądania, Wasza Ula Pedantula.

A oto twórcy, których Wam dziś przedstawiam (oraz ewentualne zniżki, które dla Was przygotowali):

Karolina Szeląg - https://instagram.com/karolina.szelag (na hasło: ulapedantula wpisane w wiadomościach od piątku do niedzieli  - przesyłka gratis. Zamówienia należy składać w wiadomościach na profilu Karoliny na IG) 
Brown House Tea - https://instagram.com/brownhouseandtea/ (z kodem PEDANTULA  -20% w sklepie do końca grudnia, rabat nie obowiązuje na akcesoria, zestawy oraz zakładkę sale)
Papierniczki - https://www.instagram.com/papierniczki/ (rabat 10% na ofertę świąteczną z kodem ULAPEDANTULA10)
MIOO - https://instagram.com/mioojewelry/ (rabat 11% na hasło URODZINY obowiązuje w listopadzie).
Mucha nie siada - https://instagram.com/nie_siada/ (7% na hasło ULA do 6 grudnia 2022)
Balena Ceramika - https://www.instagram.com/balena_ceramika/ (10% na hasło PEDANTULA do 20.11.2022)
Wy.haftowani - https://instagram.com/wy.haftowani/ (darmowa wysyłka na hasło ULA)
Lana tamborki - https://instagram.com/lana.tamborki
Hatfovanko - https://instagram.com/haftovanko/ ( rabat 10% na hasło ULAPEDANTULA do końca listopada)

Aoje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'boże narodzenie 2022', 'prezenty', 'prezenty na święta', 'prezenty na boże narodzenie', 'prezenty świąteczne', 'prezenty święta', 'pomysły na prezenty świąteczne', 'pomysły na prezent', 'inspiracje świąteczne']",2022-11-11T17:00:45Z,72723,2118,,69,PT13M11S,hd,true
19,HGF5LGaMp8o,Ula Pedantula,"Prezenty z Instagrama 2022, cz. 1 | Ula Pedantula #371","Pierwszy w tym roku odcinek świąteczny - pomysły na prezenty z Instagrama, edycja 2022!
Znajdziecie tu mnóstwo inspiracji świątecznych i nie tylko, ponieważ rękodzieło artystyczne, które Wam dziś polecam, świetnie sprawdzi się jako idealny i jedyny w swoim rodzaju prezent na różne okazje, nie tylko Boże Narodzenie. Miłego oglądania, Wasza Ula Pedantula.

A oto twórcy, których Wam dziś przedstawiam (oraz ewentualne zniżki, które dla Was przygotowali):

Pan Pelican - https://www.instagram.com/panpelican_handmade/
Koronacja - https://www.instagram.com/koronacja/
Jaskółka - https://www.instagram.com/jaskolka.eco/ (na hasło PEDANTULA - 10% rabatu)
Faramuszka -  https://www.instagram.com/faramuszka/ (10% do wykorzystania do końca roku w sklepie www.faramuszka.pl na kubki i miski porcelanowe oraz kartki i herbaty/kawy - bez emalii, doniczek i świec sojowych. Kod rabatowy RABATULA do wpisania w koszyku podczas składania zamówienia.
Ania Chmura Art - https://www.instagram.com/ania.chmura.art/ (na hasło PEDANTULA 10% zniżki do końca listopada)
Mali Art - https://www.instagram.com/maliart_/ (na hasło UlaPedantula 10 % rabatu na zamówienie złożone w przeciągu najbliższych dwóch tygodni)
Zmalovane Custom - https://www.instagram.com/zmalovane_custom/ (rabat dla widzów - 10% na hasło Pedantula na zamówienia złożone do końca listopada)
Siostry plotą - https://www.instagram.com/siostryplota/ (zniżka 10% na pierwszy warsztat na hasło: ULAPEDANTULA)
On dzierga - https://www.instagram.com/ondzierga/ (darmowa dostawa do końca listopada na hasło PEDANTULA) 
Cannela Weaving - https://www.instagram.com/cannela.weaving/

A moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'święta bożego narodzenia', 'prezenty z instagrama', 'prezenty', 'prezenty na święta', 'prezenty na święta bożego narodzenia', 'prezenty świąteczne', 'boże narodzenie', 'pomysły na prezenty świąteczne', 'pomysły na prezenty', 'pomysły na prezenty na święta', 'świąteczne inspiracje']",2022-11-07T17:00:13Z,121625,3391,,224,PT16M29S,hd,true
20,d_3YRb_3qao,Ula Pedantula,"Jak myć podłogi: drewniane, olejowane, panele, kamienne, winylowe | Ula Pedantula #370","Materiał powstał we współpracy z marką Sidolux.

Kod ULA15 daje 15% zniżki na zakupy w sklepie https://www.sklep-sidolux.pl/
Kod działa do 6.11!

Dziś podpowiem, jak myć o podłogi - drewniane, olejowane, panele, kamienne i winylowe. Pokażę, jak ważny jest dobór odpowiedniego środka do mycia i pielęgnacji wszystkich typów podłóg, czym poszczególne rodzaje podłóg się od siebie różnią i jak wpływa to na sposoby dbania o nie. Co więcej powiem Wam, czym różnią się od siebie poszczególne rodzaje mopów, który rodzaj mopa wybrać do jakiej podłogi, oraz jaką wodę stosować do mycia podłóg drewnianych, kamiennych, winylowych i paneli. Podpowiem też, dlaczego tak ważne przed myciem podłogi na mokro jest jej odkurzenie. Zapraszam Was na odcinek, Wasza Ula Pedantula.

W filmie odpowiem na pytania:
00:00 Jak ogólnie dbać o podłogi?
02:09 Sidolux partnerem Pedantuli
03:37 Jak myć podłogi drewniane?
08:06 Jak myć podłogi olejowane?
09:49 Jak myć panele?
13:16 Jak myć płytki, podłogi kamienne, winylowe i linoleum?

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'podłogi', 'podłogi drewniane', 'podłogi winylowe', 'podłogi olejowane czym myć', 'podłogi drewniane czym myć', 'panele', 'panele jak myc', 'panele winylowe jak czyścić', 'jak dbać o drewnianą podłogę', 'jak pielęgnować podłogę olejowaną', 'jak pielęgnować podłogę drewnianą', 'sidolux', 'sidolux do paneli', 'sidolux do płytek', 'odkurzanie podłóg drewnianych', 'mopy do mycia podłóg', 'mopy do paneli', 'mopy do podłóg']",2022-10-28T16:00:23Z,73502,1064,,139,PT23M42S,hd,true
