,video_id,comments
10,m0W4Bfay1OM,"['Muzyka wyraźnie dodaje uroku 👍', 'Pięknie', 'Jak zwykle pomysłowe pakowanie Pani Ulu 🥰']"
11,s1ZbzJNVr2c,"['Pięknie dekorujesz prezęty 💜 Pls więcej takich filmów 🧡🧡', 'Super 🎄🎄🎄', 'Zapakowane skromnie a zarazem elegancko 😀🎁', 'Bardzo ładnie. Te wszystkie elementy na które składa się opakowanie,są niestety coraz droższe.. a świat wokół coraz podlejszy..', 'Pięknie. Pani Ulo jak się nazywa ten biały puszek podobny do piórek, który włożyła Pani w bombkę? Pozdrawiam serdecznie.']"
12,8Lzb9xMVDLA,"['Ja bym zdecydowanie dodała butelkę z wodą i szklankę, oraz mały zestaw emergency, typu jakaś mini saszetka leku przeciwbólowego i jakieś pojedyncze tampony+podpaski', 'Nigdy nie proponuję  zdjęcie  butów', 'Fajny kitku🥰', 'Też mam w przedpokoju taką rynienkę.\nGoście buty zdejmują.', 'Ulu, pytanie niezwiązane z odcinkiem. Jak Ty to robisz, że po ciąży masz takie piękne i gęste włosy. Może jakiś odcinek o pielęgnacji, a jeśli nie, to choć napisz, jakich produktów używasz. Pozdrawiam serdecznie Kochana!', 'Jezu, jaki piękny ten kot!', 'Super poradnik, Ulu! 🤎👍👍😊Też byłam zawsze uczona zmiany butów na kapcie po wejściu do domu. U siebie w przedpokoju mam od kapci specjalny pojemnik, do którego można wygodnie sięgnąć. 😊 A na klimat w domu myślę, że duży wpływ ma także muzyka. U mnie praktycznie zawsze jakaś leci i jeśli mam gości, to za każdym razem ich pytam, czy ta akurat grająca im nie przeszkadza, czy może woleliby inną, lub czy nie jest za głośno...  by po prostu czuli się komfortowo. 😊', 'Hej, wychowywałam się w dużym domu na wsi, gdzie jest kuchnia,korytarz, ""sień"", kuchnia polowa,przechodzi się dużo między dwoma częściami domu, dlatego goście w tym domu nigdy nie ściągali butów,chyba,że sami bardzo chcieli, dostawali kapcie. Byłam nauczona,że przy ważnych uroczystościach buty są elementem stroju. Jednak gdy aura jest śnieżna/ błotnista to raczej każdy ma ochotę zdjąć buty. Pozdrawiam', 'Ten duży biały stół 150/260 jest wspaniały, służy nam juz kilka imprez i doskonale się sprawdza.', 'Niestety ta ""nadstawka"" nad rynienkę do butów w zastosowaniu troszkę słaba gdyż z butów z pięterka będzie spadać woda na buty z parterka 😉']"
13,hxXwUnK8a7E,"['Gdzie kupic waze zlota linia maria paula ?  Dzbanek do kawowego srrwisu itd', 'bardzo fajne pomysły dekoracji stołu, bardzo dziekuję za dzielenie się pasją:)Wesołych swiat!', 'Dziekuje za inspiracje i zycze Wesolych Swiat w Szczesliwego Nowego Roku.', '❤', 'Ten czerwony obrus, no nie … za malo bieli , srebra, pieknych swiecznikow.', 'Dla wszystkich czytelników zdrowych wesołych pogodnych i radosnych Świąt Bożego Narodzenia oraz wszystkiego co najlepsze w nadchodzącym Nowym 2023roku!! Bogatego Mikołaja.. Trafionych prezentów... Dużo poczucia humoru na codzień.. Nie tylko kochani od Święta.. Dużo zdrówka i dobrej pracy z dobrymi zarobkami.. Dużo miłości... I drugiej połówki jabłuszka żeby było z kim dzielić tą naszą radość dnia codziennego.. Kochamy się i szanujmy i dbajmy o naszych bliskich rodziców.. Dziadków i naszych krewnych cioci i wujków... Bądźmy dla siebie dobrzy i wyrozumiali.. A przy porządku g i robieniu zakupów nie wariujmy.. Bo zdrowie jest nam potrzebne na całe życie.. A nie tylko od Święta.. Z zakupami też nie głupiejmy.. Kupujemy tyle aby się żywność nie marnowała.. A jakby co to wiecie państwo że zawsze można oddać potrzebującym.. Oddać w kościele dla potrzebujących zawsze na pewno chętni będą a i także bardzo wdzięczni za taką hojność.. Odzież też jest mile widziana.. Koce itp również rzeczy.. Pozdrawiam cieplutko wszystkich czytelników raz jeszcze... Wszystkiego dobrego.. A dla dzieci i wnuków.. Również zdrówka życzę i fajnych prezentów i dużooo kasy.. Naturalnie..', 'Ulu kochana świetną robotę robisz.. Wszystko jest przepięknie przemyślane i super ze sobą połączone.. Uwielbiam Cie oglądać i chętnie inspiruje się twoimi drogimi pięknymi patentami.. Wesołych Świąt kochana życzę dla Ciebie twojej rodziny... Chętnie usiadłabym z Tobą Kochana do wieczerzy przy tak pięknie nakrytym stole.. Z twoimi bliskimi i moją córką, oraz bliskimi memu sercu rodziną i przyjaciółmi... Bogatego Mikołaja dla Ciebie Ulu i twoich dzieciaczków.. Małżonka także.. Wiele sukcesów w zawodzie życzę Tobie który robisz dzieląc się z nami czytelnikami swoją jakże bogatą wiedzą w każdej dziedzinie życia... Uwielbiam Cie bardzoooooo mocnoooooo!!! Napewno czytelnicy chętnie też na pewno dołączają się do moich życzeń Ulu dla Ciebie... Bądź z nami na zawsze!!!! Ściskam Cie bardzoooooo mocnoooo i całuję bardzo mocno i bardzo gorrrącccooooo.... Jesteś niezastąpiona w swoim fachu!!! Super jesteś!! Tak trzymaj!!!', 'Podoba mi się efekt tych obreczy na serwetkach. Niestety ja się jeszcze takich nie dorobiłam......😉🤷 zawiązuje taką serwetke czerwoną wstążka i wkładam maleńki kawałeczek świerku. Też wygląda całkiem nieźle😊', 'Jak zawsze pięknie Ulu.⭐️🎄', 'Pięknie 🎄']"
14,-JjfAZE6mZ4,"['😍', 'Super pomysły! 😊👍Hmmmm, fajnym kluczem by były np. tylko prezenty użyteczne. 😁a kupony są ekstra, sama bym miała z takiego frajdę...', 'Ula nie zmieniaj koloru włosów ani fryzury- wygldąsz fenomenalnie- najlepiej ze wszystkich wcześniejszych 👍', 'Pokochałam słowo ""zmóżdżać"" 😂😂😂😂😂😂😂😂😂no padne....😂😂😂extra', 'Święta Bożegonarodzenia są najpiękniejsze, nawet ateiści chcą je świętować🤪', 'Ulu, to najlepszy odcinek na temat prezentów 😁 tyle pomysłów, nie wiem czy dam radę skorzystać ze wszystkich, chociaż bym chciała 😅', 'W wielu rodzinach prezentów nie robi się nigdy...', 'Dobry wieczór.  Jestem z Ukrainy, ale teraz mieszkam w Polsce)) Bardzo lubię oglądać twoje filmy.  Przyjemność estetyczna + nauka polskiego)) ❤', 'REWELACYJNY ODCINEK ❤️', 'Tak się zastanawiam, macie jakąś aplikację do polecenia, w której można robić właśnie taką listę rzeczy/pomysłów na prezenty, którą potem można udostępnić komu trzeba?']"
15,kJNQqJDa7mo,"['Pani to ma zawsze takie pomysły że pozazdrościć .Przyznam się że z wielu skorzystałam .Życzę dużo zdrówka dla całej rodziny oraz Wesołych  Radosnych i Spokojnych Świąt Bożego Narodzenia 🎁🌲⛄', 'u nas od lat choinka, gwiazda betlejemska i dużżżżżo lampek. Prosto i jest klimat', 'Uluś jak zrobić te bombki na oknach ? Pytam w tym sensie, czy u siebie zaczepiłaś je wszystkie na jakiejś jednej wspólnej tasiemce ? Czy każdą bombeczkę przypięłaś osobno do okna ?', 'U nas dekoracje plus choinka od 06.12😄', 'Mam już PODAJ DALEJ I POZAMIATANE a teraz mam FE-NO-ME-NA-LNY 😅 pomysł żeby powstała książka z pomysłami na dekorowanie domu na sezon świąteczny!!! Już ją sobie wyobrażam jak się w niej zanurzam.. ❤ holly jolly 🎄🌟☃️', 'Dla zainteresownych - właśnie zaczęła się wyprzedaż w Jysk. Drzewka led są dostępne nawet 55% taniej :)', '☃️🎄🎁', 'Uleńko, bardzo dziękuję za ten odcinek za Twoją łagodność, serdeczność , naturalność. Od tygodnia jestem dziwnie poddenerwowana zbliżającymi Świetami. Po obejrzeniu tego odcinka wprowadziłaś spokój , radość , odszedł stres. Dzisiaj zakładam lampki i gwiazdki. Dziękuję Tobie serdecznie i życzę wspaniałych pełnych radości Świąt Bożego Narodzenia❤❤❤', 'Ja lubię Święta  , bo kojarzą mi się z końcem długich i zimnych dni  , od 21 grudnia wydłuża się dzień 😊 I nie mam zamiaru wydawać kasy na głupoty  jak jakieś girlalndy zimowe , wystarczy malutka choineczka. Czekam do wiosny. 😊 Innych dekoracji nie robię , bo bez sensu.', 'Super. U mnie na razie dekoracji brak ale właśnie robię haftowana bombkę. Zapraszam również na mój kanał.']"
16,_OjXgkl37fI,"['Pani Ulu mowi Pani bardzo dajnie. Ale napisy skutecznie zaslaniaja to o czym Pani mowi. Nic nie widzialam z biurka ani innych rzeczy. Prosze obejrzec sobie ten film moze uda sie to jakos rozwiazac. Pozdrawiam serdecznie', 'Super pokój dla nastolatka a ile lat ma rysio 👍❤️ pozdrawiam', 'Ta półeczka do kabli to maskownica IKEA. Można dokupić do każdego biurka 🤗', 'Jestem zmarzluchem i ten śpiworek świetny pomysł, ja dostałam kiedyś kocyk polarowy z rękawkami i kieszonką, wygląda podobnie jak ten śpiworek, ale jak nie korzystam to trochę zawasza ale zainspirowałaś mnie i może spróbuje go jakoś poskładać w poduszkę i to jest myśl 😊 pozdrawiam i dziękuję za inspiracje😘', 'Super pomysł na dodatki dla syna pokoju.. Szkoda ze Lampka niedostępna a długa podkładka bez możliwości dostawy do domu.', 'Ta poduszka będzie fenomenalna dla dzieci do auta na zimę', 'Skąd taki piękny sweterek? 😍', 'Pani odkurzacz synowi pokój?', 'Wszystkiego najlepszego z okazji urodzin mega zdrowia uśmiechu szczsliwych dni z Rodziną Dumy z synkow spełnienia marzeń realizacji planów oraz  Opieki Bozej jest pani cudowna pozdrawiam zapraszam na kawę do Uk Usiski Ewela sto lat', 'Żaden z linków odsyłających do produktów nie działa. Kolejne rozczarowanie.']"
17,yvLbBD1GjMI,"['Same już zapakowane w karton wyglądają super', 'Prezenty ładne ale ja nie lubię dostawać coś do domu😢jak dla mnie to dla mnie ma być 😜 lubię książki, kosmetyki - wiele firm i marek ładnie pakuje swoje produkty właśnie jak na prezent. Wojciech Cejrowski na przykład a z kosmetyków Bartos', 'Szkoda, że wszystko to współprace', 'Дуже гарно! Успіхів вашому каналу!!!', 'Wszystkie te prezenty są dla mnie mało oryginalne. Nie podoba mi się pomysł dawania takich rzeczy na Święta. I nie wszystkie są przydatne. Jestem szczerze  rozczarowana.', 'Od lat marzę o podgrzewaczu a ten jest wyjątkowo piękny😍💓', 'Spóźniłam się z rabatem :(', 'Też jestem team kawiarka🥰', 'całkiem niedrogo tylko  , kubek 30-50 zł , reszta tylko więcej.  Czy ten kubek wytrzyma zaparzanie herbaty ,bo ja się już nacięłam i kupuje normalne i nie świąteczne .Po świętach ,a przed drugimi wielkanocnymi,  te pierwsze ozdoby na śmietniku ląduje .', 'Uleczko, Ty to masz talent do zarażania atmosferą:-). Super odcinek. Cieplutko pozdrowiam Ciebie i ekipę:-).']"
18,wJBsO712FfA,"['Przepiękne wnętrze! 😍', '❤', 'Super material! A ja w tym roku stawiam na własnoręczne upominki dla bliskich. Bede robila wieńce z gwiazda betlejemska w roli glownej, zeby w ich domkach zagościł świąteczny klimat <3', 'Uwielbiam te filmy na Twoim kanale  cudownie, że w taki sposób wspierasz rękodzielników ❤', 'Torebki od mucha #nie_siada cudowne I ceny tez OK! Dzis pierwszy raz trafilal na Twoj kanal. Masz przecudny dom:) Fajnie ze wspierasz polskich polskich artstow!', 'Ula, piękne propozycje... moja uwagę zwróciły twoje poduchy na sofie... gdzie można je nabyć?', 'Ula ja jak i wiele innych osób staramy się dowiedzieć jak można kupić filiżanki ale na IG brak kontaktu a sklepu tez nie ma :/', 'Ulu kwitniesz oj kwitniesz. Z odcinka na odcinek bije od Ciebie mega blask :)', 'Na Pani IG mignęło mi info o Mucha nie siada :) zakochałam się od razu i zamówiłam a 2 dwa dni później piękna torebunia była już u mnie. Bardzo dziękuję za inspirację 😊 dzisiaj oglądam film a tu zniżka - chyba skuszę się i jeszcze raz zamówię 😂', '❤']"
19,HGF5LGaMp8o,"['Twoje filmy, to skarbnica pomysłów! Mam nadzieję, że jeszcze dam radę w tym roku. Moim zdaniem dla osób, które pracują na Instagramie i telefonem dobrym pomysłem na prezent będzie drukarka mini link Instax. Robi dobrej jakości zdjęcia, a przy tym jest mała i mieści się w każdej torebce.', 'ojej przecudowne propozycje 😍 ja na instagramie wypatrzyłam instaxa i tak mi wszedł do głowy, że aż poprosiłam męża o instaxa na prezent 😅', 'Dziękuję Pani Uleczko , właśnie dziś dotarły do mnie prezenciki dla bliskich , prosto z ""fabryki "" faramuszki .Piękne i oryginalne .Pozdrawiam serdecznie', 'Przejrzałam propozycje i jakoś nic mi w oko nie wpadło ale i tak dziękuję 😀 miło się Ciebie ostatnio ogląda w tvn i u Magdy Mołek 😀 U nas w tym roku prezenty klasyczne, coś do poczytania, karty podarunkowe do empiku, sobie wybrałam kosmetyki Bartos, na święta coś dobrego i lepszego mi się należy 😉 generalnie chyba w Rossmanie sporo załatwimy bo tam można kupić fajne rzeczy już właściwie za każda kwotę i dla każdego', 'Świetne pomysły jak zawsze, już nie raz skorzystałam i zawsze to były trafione prezenty 👌Mam jeszcze pytanie o naszyjniki gwiazdki jakie ma Pni na szyi w trakcie odcinka, są śliczne, co to za marka?', 'Polecam Malikceramik - super kubeczki 🎁', 'świetny odcinek!', 'Niestety nie moge wszystkiego obejrzec, bo niemam instagrama', 'Mam filiżankę od dziewczyn z Faramuszka. Dostałam od rodziców i dzieci na dzień nauczyciela kilka lat temu. Uwielbiam ją, jest przeurocza. Zdarzyło się, kilka razy, że  wyparała się w zmywarce, a malowidła nadal trzymają się jakby wyszły dopiero spod ręki! :)', 'Doskonały wybór! Faramuszkę i ja polecam. Kubek kupiony mężowi jest piękny i bardzo trwały. Kupiłam go w prezencie jakieś 4-5 lat temu i nadal wygląda jak nowy.']"
20,d_3YRb_3qao,"['Witam a czym najlepiej myć podłogę w łazience starodwane elastriko?', 'Ja jestem team drewno olejowane.😄 Mam w mieszkaniu podłogę, stół, stolik, komodę. Fakt, wymaga więcej uwagi, ale efekt wizualny drewna olejowanego jest twgo wart😃', 'Jest najlepsza, 🥰kiedy świąteczne filmy?', 'Od kilku lat myję panele wodą z kilkoma kroplami Ludwika. Sprawdza się świetnie.To samo z oknami , cyli chodzi mi o szyby. Maly wydatek a sprawdza się świetnie.Pozdrawiam', 'Na moich panelach winylowych, w kilku pomieszczeniach pojawiły się takie podłużne linie które wyglądają jak lekkie wgniecenia. Są idealnie równe, linia idzie np. przez całą długość sypialni od okna do drzwi ok 40cm od ściany, wzdłuż niej, albo podobnie w salonie, w poprzek korytarza... Oczywiście tam nic nigdy nie stało a już tym bardziej nie podłużnego. Pojawiło się to ok 2 lata od położenia.\nCzy ktoś się z czymś takim w ogóle spotkał?', 'Jak zwykle ciekawy odcinek. Też używam Sidoluxa i płaskie mopy. Mam podłogi naturalne i sidolux się sprawdza. Lubię oglądać Pani  porady i ten milutki głos . Pięknie Pani wygląda... Życzę miłego wieczoru 🌸🌼🌹', 'WItam bardzo fajny kanał bardzo ładne materiały, na jakim sprzęcie nagrywacie video ?', 'SIDOLUX jest najlepszym bezpiecznym środkiem, podobnie jak wszystkie produkty firmy LAKMA. Dzięki za recenzję.', 'Mam problem z panelami bo dziwnie się wygieły taka ""górka się zrobiła od strony grzejnika ale czy to wina grzejnika? Wcześniej tego nie było. Teraz zrobiło się tak jak zaczełam myć. Co mam zrobić z taka górką wygiętych paneli ? 🤔', 'Pani Ulu, bardzo fajny odcinek, również lubię produkty sidoluxa, u siebie używam płynu uniwersalnego i do paneli i jeśli o ten płyn chodzi to jeszcze nigdy nie miałam smug na panelach. A płyn uniwersalny o zapachu rumianku pięknie pachnie. Pozdrawiam']"
